smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc(-c2ccccc2)cc1,100000.0,418.4960000000001,5.562080000000004,1.0,4.0,1.0,76.11000000000001,3.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc2ccccc2c1,100000.0,392.4580000000001,5.048280000000004,1.0,4.0,1.0,76.11000000000001,2.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1cccc2ccccc12,100000.0,392.4580000000001,5.048280000000004,1.0,4.0,1.0,76.11000000000001,2.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1cc(Br)cs1,100000.0,427.32300000000004,4.719080000000003,1.0,5.0,0.0,76.11000000000001,2.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1cccs1,100000.0,348.427,3.9565800000000024,1.0,5.0,0.0,76.11000000000001,2.0,0.0
COc1cccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2ccccc2)C3)c1OC,100000.0,402.4500000000001,3.9122800000000026,1.0,6.0,0.0,94.57000000000001,4.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc2c(c1)OCO2,300000.0,386.40700000000015,3.6237800000000027,1.0,6.0,0.0,94.57000000000002,2.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc([N+](=O)[O-])cc1,100000.0,387.3950000000001,3.8032800000000027,1.0,6.0,0.0,119.25000000000003,3.0,1.0
COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2ccccc2)C3)cc1,100000.0,372.42400000000004,3.9036800000000023,1.0,5.0,0.0,85.34,3.0,0.0
CSc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2ccccc2)C3)cc1,100000.0,388.4920000000001,4.616980000000003,1.0,5.0,0.0,76.11000000000001,3.0,1.0
