smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,308.33700000000016,3.0844000000000014,3.0,2.0,0.0,82.19,2.0,0.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,100000.0,336.39100000000025,3.403400000000002,3.0,2.0,0.0,82.19,4.0,0.0
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,343.22400000000016,4.1487000000000025,2.0,1.0,0.0,44.89,1.0,1.0
O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,50000.0,341.45500000000015,4.059400000000003,3.0,4.0,0.0,70.23,4.0,1.0
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,441.3330000000001,3.6115000000000013,1.0,6.0,0.0,74.25,7.0,0.0
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,280.33500000000004,2.53782,1.0,6.0,0.0,66.83000000000001,3.0,0.0
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.0,271.71100000000007,3.1252200000000014,1.0,5.0,0.0,63.59,2.0,0.0
O=C1c2cc(Nc3ccccc3)c(Nc3ccccc3)cc2C(=O)N1c1ccccc1,100000.0,405.45700000000016,5.974400000000004,2.0,4.0,1.0,61.440000000000005,5.0,1.0
CCn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3ccccc3)nc21,200.0,411.2920000000001,5.528800000000003,1.0,4.0,1.0,59.81,4.0,1.0
COc1cccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)c1,30.0,427.2910000000001,5.054500000000003,1.0,5.0,1.0,69.03999999999999,4.0,1.0
COC(=O)c1cc(Nc2ccc(F)cc2)c(Nc2ccc(F)cc2)cc1C(=O)OC,100000.0,412.39200000000017,5.0252000000000026,2.0,6.0,1.0,76.66000000000001,6.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NC3CCCCC3)nc21,50000.0,403.3130000000003,5.0469000000000035,1.0,4.0,1.0,59.81,3.0,1.0
COc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,3.8,332.16100000000006,2.9345,1.0,6.0,0.0,72.82000000000001,3.0,0.0
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,515.0,446.9100000000004,4.275600000000003,1.0,7.0,0.0,68.74000000000001,8.0,1.0
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCCOC)c(OCCOC)cc23)c1,850.0,417.46500000000026,3.8817800000000027,1.0,7.0,0.0,85.63000000000001,10.0,1.0
O=C1NC(=O)c2cc(Sc3ccccc3)c(Sc3ccccc3)cc21,100000.0,363.4630000000001,4.872600000000003,1.0,4.0,0.0,46.17,4.0,1.0
Cc1cccc(Nc2ncnc3cnc(N)nc23)c1,17.0,252.28100000000003,2.0540199999999995,2.0,6.0,0.0,89.61,2.0,0.0
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cn1,1300.0,428.2790000000001,4.449500000000002,1.0,6.0,0.0,81.92999999999999,4.0,1.0
CNc1ncc2ncnc(Nc3cccc(C)c3)c2n1,4.3,266.308,2.5135200000000006,2.0,6.0,0.0,75.62,3.0,0.0
COC(=O)c1cc(/N=C/c2cc(O)ccc2O)ccc1OC,100000.0,301.29800000000006,2.6436,2.0,6.0,0.0,88.35000000000001,4.0,0.0
O=C1NC(=O)c2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,100000.0,325.32700000000006,3.839200000000001,3.0,2.0,0.0,77.75,0.0,0.0
CCOC(=O)/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.5,442.2730000000001,3.588700000000001,2.0,7.0,0.0,106.10000000000001,6.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3cccnc3)nc21,5000.0,412.28000000000014,4.309400000000003,1.0,5.0,0.0,72.7,4.0,1.0
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1C,250.0,441.31800000000015,5.3629200000000035,1.0,5.0,1.0,69.03999999999999,4.0,1.0
Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)nc23)c1,2.9,444.3370000000004,3.0601000000000003,2.0,8.0,0.0,88.09,7.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(CO)c3)nc21,90.0,427.29100000000017,4.538200000000003,2.0,5.0,0.0,80.04,4.0,1.0
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,0.81,430.31000000000034,2.67,2.0,8.0,0.0,88.09,6.0,1.0
O=C1NC(=O)C(c2c[nH]c3ccccc23)=C1c1c[nH]c2ccccc12,50000.0,327.3430000000001,3.216400000000001,3.0,2.0,0.0,77.75,2.0,0.0
CNc1ncc2ncnc(Nc3ccccc3)c2n1,13.0,252.28100000000003,2.2051,2.0,6.0,0.0,75.62,3.0,0.0
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.7,369.22200000000004,4.260400000000002,2.0,4.0,0.0,66.91,4.0,1.0
C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.5,384.2370000000001,4.045500000000002,2.0,5.0,0.0,79.8,4.0,1.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(NCc3ccccc3)nc21,50000.0,411.29200000000014,4.914400000000003,1.0,4.0,0.0,59.81,4.0,1.0
CN1C(=S)C(C)(C(=O)Nc2ccccc2)c2ccccc21,100000.0,296.39500000000004,3.3602000000000016,1.0,2.0,0.0,32.34,2.0,0.0
CN(c1ccccc1)c1cc2c(cc1N(C)c1ccccc1)C(=O)NC2=O,50000.0,357.41300000000007,4.106000000000003,1.0,4.0,0.0,52.65,4.0,1.0
C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.17,384.2370000000001,3.679700000000002,1.0,5.0,0.0,71.01,4.0,0.0
CN1C(=S)C(C(=O)Nc2ccccc2)c2cc(Cl)ccc21,100000.0,316.81300000000005,3.839500000000002,1.0,2.0,0.0,32.34,2.0,0.0
CSc1c(C(=O)Nc2ccccc2)c2ccccc2n1C,100000.0,296.3950000000001,4.1525000000000025,1.0,2.0,0.0,34.03,3.0,1.0
C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.7,497.39700000000005,3.7722000000000024,1.0,7.0,0.0,83.48,8.0,1.0
CN(C)c1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,50000.0,349.22100000000006,3.3683000000000023,0.0,4.0,0.0,51.02,2.0,0.0
Clc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,82.0,336.58000000000004,3.579300000000001,1.0,5.0,0.0,63.59,2.0,0.0
CN1C(=S)C(C(=O)Nc2ccccc2)c2ccccc21,1000.0,282.36800000000005,3.1861000000000015,1.0,2.0,0.0,32.34,2.0,0.0
O=C(O)c1cc(/N=C/c2ccccc2O)ccc1O,20000.0,257.245,2.546600000000001,3.0,4.0,0.0,90.12,3.0,1.0
COC(=O)c1cc(NCc2cccc(O)c2)ccc1O,21000.0,273.28800000000007,2.4965000000000006,3.0,5.0,0.0,78.79,4.0,0.0
CC(C)Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(C)c2n1,5000.0,363.2480000000001,4.122600000000003,1.0,4.0,0.0,59.81,3.0,1.0
CNc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,0.76,331.177,2.967600000000001,2.0,6.0,0.0,75.62,3.0,0.0
C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,1.6,384.2370000000001,4.045500000000002,2.0,5.0,0.0,79.8,4.0,1.0
C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.55,383.2490000000001,4.650500000000003,2.0,4.0,0.0,66.91,4.0,1.0
Nc1ncc2ncnc(Nc3cccc(Br)c3)c2n1,1.5,317.15000000000003,2.5081000000000007,2.0,6.0,0.0,89.61,2.0,0.0
Cc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,2.3,365.44100000000026,2.2159199999999997,2.0,8.0,0.0,88.09,6.0,1.0
Clc1ncc2ncnc(Nc3ccccc3)c2n1,2550.0,257.684,2.8168000000000006,1.0,5.0,0.0,63.59,2.0,0.0
Cn1c(=O)c(-c2c(Cl)cccc2Cl)cc2cnc(Nc3cccc(O)c3)nc21,150.0,413.2640000000001,4.751500000000003,2.0,5.0,0.0,80.04,3.0,1.0
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,0.25,411.26700000000017,3.3035999999999994,3.0,7.0,0.0,104.30000000000001,6.0,1.0
CN(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,2.6,344.216,3.5969000000000015,1.0,5.0,0.0,53.94,3.0,0.0
O=C(/C=C/Cl)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.69,404.6550000000001,4.2219000000000015,2.0,5.0,0.0,79.8,4.0,1.0
CC(=O)/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.2,411.25900000000007,4.2196000000000025,2.0,5.0,0.0,83.98,5.0,1.0
C=CS(=O)(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.4,405.2770000000001,4.0211000000000015,2.0,5.0,0.0,83.98,5.0,1.0
Cc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,3.0,346.398,2.84952,3.0,7.0,0.0,104.30000000000001,6.0,1.0
O=C(O)c1cccc(/N=C/c2cc(O)ccc2O)c1,20000.0,257.245,2.5465999999999998,3.0,4.0,0.0,90.12,3.0,1.0
O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,1000.0,270.24,2.576800000000001,3.0,5.0,0.0,90.9,1.0,1.0
C=CS(=O)(=O)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,0.43,391.25000000000006,3.448100000000002,1.0,6.0,0.0,84.84,4.0,0.0
COc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,220.0,427.2910000000001,5.054500000000003,1.0,5.0,1.0,69.03999999999999,4.0,1.0
CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,3.1,330.1890000000001,3.5726000000000013,2.0,5.0,0.0,62.730000000000004,3.0,0.0
COC(=O)c1ccc(/N=C/c2cc(O)ccc2O)cc1O,10000.0,287.271,2.3406000000000007,3.0,6.0,0.0,99.35000000000001,3.0,1.0
O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21,300.0,329.35900000000004,4.057400000000001,3.0,4.0,0.0,70.23,4.0,1.0
COc1ccc(Nc2cc3c(cc2Nc2ccc(OC)cc2)C(=O)NC3=O)cc1,50000.0,389.4110000000001,4.074600000000001,3.0,6.0,0.0,88.69,6.0,1.0
CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,8700.0,343.3860000000001,4.081700000000002,2.0,4.0,0.0,61.440000000000005,4.0,1.0
COC(=O)c1cc(Nc2ccccc2)c(Nc2ccccc2)cc1C(=O)OC,100000.0,376.41200000000015,4.747000000000003,2.0,6.0,0.0,76.66000000000001,6.0,1.0
